Bin Label,LPS-induced group probability,LPS+BBR group probability,Class,Class_label
143 C-1.cnx,0.34399681360260653,0.22112889822490317,Control,1
144 C-2.cnx,0.38847461307714165,0.11181321763827416,Control,1
163 C-3.cnx,0.39586462223866087,0.0899098847440439,Control,1
164 C-4.cnx,0.3738994590255007,0.045870152943485794,Control,1
165 C-5.cnx,0.398712394194076,0.06106438213039993,Control,1
158 L-1.cnx,0.5967339009402867,0.11851895354349226,LPS-induced,2
159 L-2.cnx,0.6129363980652003,0.10052565557496092,LPS-induced,2
160 L-3.cnx,0.6618984680949345,0.05208540335949478,LPS-induced,2
161 L-4.cnx,0.6195534659297859,0.11307812001128019,LPS-induced,2
162 L-5.cnx,0.6228317696524558,0.09788277743628832,LPS-induced,2
145 T-1.cnx,0.028758432643759893,0.9514183447491132,LPS+BBR,3
146 T-2.cnx,0.12464562667182433,0.7278732924485042,LPS+BBR,3
147 T-3.cnx,0.14684195709633574,0.7122240268908426,LPS+BBR,3
166 T-4.cnx,0.10792123134140642,0.800789643637665,LPS+BBR,3
167 T-5.cnx,0.31369054284356207,0.3809895272308515,LPS+BBR,3
